imp_fraction,perturb_param,level,factor,seed,pop,mean_sttc,pct_ictal,mean_rate,cv_rate
10p,C,-0.2,0.8,12347,IMP,0.2006261625954169,0.0,13.4289375,2.029130716243146
10p,C,-0.2,0.8,12347,FS,0.13476139499932727,0.0,7.195062500000001,1.112569930391867
10p,p_conn,-0.1,0.9,12345,IMP,0.16870745972381915,0.0,11.3974375,2.1648505678308863
10p,p_conn,-0.1,0.9,12345,FS,0.10439090867621291,0.0,6.414525,1.1886126333973317
10p,tau_w,0.2,1.2,12346,IMP,0.15900450902476226,0.0,11.41375,2.322760241797227
10p,tau_w,0.2,1.2,12346,FS,0.09634205980549733,0.0,6.0026625000000005,1.2921173940585784
10p,C,-0.1,0.9,12346,IMP,0.18993276992417793,0.0,13.18803125,2.1155949753264176
10p,C,-0.1,0.9,12346,FS,0.12430227952187796,0.0,6.9033500000000005,1.1931678536787054
10p,C,0.0,1.0,12346,IMP,0.17417593501371417,0.0,12.608875000000003,2.1063606878449646
10p,C,0.0,1.0,12346,FS,0.1113416004963874,0.0,6.553062499999999,1.1991246984486732
10p,tau_w,0.0,1.0,12346,IMP,0.17417593501371417,0.0,12.608875000000003,2.1063606878449646
10p,tau_w,0.0,1.0,12346,FS,0.1113416004963874,0.0,6.553062499999999,1.1991246984486732
10p,p_conn,0.0,1.0,12346,IMP,0.17417593501371417,0.0,12.608875000000003,2.1063606878449646
10p,p_conn,0.0,1.0,12346,FS,0.1113416004963874,0.0,6.553062499999999,1.1991246984486732
10p,p_conn,-0.1,0.9,12346,IMP,0.15162605834172266,0.0,10.779312500000001,1.9710755784762852
10p,p_conn,-0.1,0.9,12346,FS,0.1019008723500605,0.0,6.2618875,1.0741288756782348
10p,tau_w,0.1,1.1,12346,IMP,0.15396321564734683,0.0,11.40165625,2.1990251889822097
10p,tau_w,0.1,1.1,12346,FS,0.0979455109800247,0.0,6.104275,1.215813482293763
10p,tau_w,0.1,1.1,12345,IMP,0.1649984703550745,0.0,10.809093749999999,2.2358023193245398
10p,tau_w,0.1,1.1,12345,FS,0.10598441211794413,0.0,5.9830250000000005,1.2005934842153623
10p,tau_w,-0.2,0.8,12347,IMP,0.19947344148559693,0.0,13.541375,1.7977094160582878
